46,当幸福来敲门,2008-01-17,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",8.9,/films/899
47,勇敢的心,1995-05-24(美国),"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",8.8,/films/3294
48,黑客帝国3：矩阵革命,2003-11-05,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",8.8,/films/9053
49,速度与激情5,2011-05-12,"主演：范·迪塞尔,保罗·沃克,道恩·强森",9.2,/films/364
50,驯龙高手,2010-05-14,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",9.0,/films/330
51,少年派的奇幻漂流,2012-11-22,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",9.1,/films/995
52,神偷奶爸,2010-07-09(美国),"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",9.0,/films/491
53,飞屋环游记,2009-08-04,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",8.9,/films/614
54,大话西游之月光宝盒,2014-10-24,"主演：周星驰,莫文蔚,吴孟达",9.6,/films/6823
55,闻香识女人,1992-12-23(美国),"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",8.8,/films/6289
56,怦然心动,2010-08-06(美国),"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",8.9,/films/46818
57,飞越疯人院,1975-11-19(美国),"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",8.8,/films/1322
58,断背山,2006-01-13(美国),"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",9.0,/films/14652
59,三傻大闹宝莱坞,2011-12-08,"主演：Aamir Hussain Khan,黄渤,卡琳娜·卡普",9.1,/films/43
60,致命魔术,2006-10-20(美国),"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",8.8,/films/20131
61,美国往事,1984-02-17(美国),"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",9.1,/films/1332
62,鬼子来了,2000-05-12(法国戛纳),"主演：姜文,姜宏波,陈强",8.9,/films/1262
63,无敌破坏王,2012-11-06,"主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇",9.0,/films/965
64,美丽心灵,2001-12-21(美国),"主演：罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",8.8,/films/11473
65,蝙蝠侠：黑暗骑士崛起,2012-08-27,"主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",8.9,/films/676
66,夜访吸血鬼,1994-11-11(美国),"主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",8.8,/films/6771
67,倩女幽魂,2011-04-30,"主演：张国荣,王祖贤,午马",9.2,/films/5430
68,哈利·波特与死亡圣器（下）,2011-08-04,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.0,/films/916
69,钢琴家,2002-09-25(法国),"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",8.8,/films/4883
70,本杰明·巴顿奇事,2008-12-25(美国),"主演：布拉德·皮特,凯特·布兰切特,朱莉娅·奥蒙德",8.8,/films/18318
71,触不可及,2011-11-02(法国),"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",9.1,/films/70976
72,初恋这件小事,2012-06-05,"主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",8.8,/films/263
73,熔炉,2011-09-22(韩国),"主演：孔刘,郑有美,金智英",8.8,/films/67214
74,大话西游之大圣娶亲,2014-10-24,"主演：周星驰,朱茵,莫文蔚",8.8,/films/158
75,新龙门客栈,2012-02-24,"主演：张曼玉,梁家辉,甄子丹",8.8,/films/94
